question,reponse,categorie,action
"votre équipe","Notre équipe est composée d'experts passionnés : développeurs, consultants en cybersécurité, architectes cloud, et chefs de projet expérimentés.","about","SHOW_ABOUT"
"votre mission","Notre mission est d'accompagner les entreprises dans leur transformation digitale en proposant des solutions technologiques innovantes et sur mesure.","about","SHOW_ABOUT"
"vos valeurs","Nos valeurs sont l'innovation, l'excellence, la confiance et la satisfaction client. Nous nous engageons à délivrer des solutions de qualité.","about","SHOW_ABOUT"
"votre vision","Notre vision est de devenir le partenaire technologique de référence pour les entreprises qui souhaitent réussir leur transformation digitale.","about","SHOW_ABOUT"
"quels sont vos services ?","Nous proposons une gamme complète de services : développement web et mobile, cybersécurité, cloud computing, conseil en transformation digitale, et support technique.","services","SHOW_SERVICES"
"que faites-vous ?","FASTCUBE développe des solutions technologiques innovantes : sites web, applications mobiles, sécurisation des données, migration cloud, et accompagnement digital.","services","SHOW_SERVICES"
"vos prestations","Nos prestations incluent le développement sur mesure, l'audit de sécurité, la migration cloud, la formation des équipes, et le support technique 24/7.","services","SHOW_SERVICES"
"vos offres","Nos offres comprennent le développement web, les applications mobiles, la cybersécurité, le cloud computing, et le conseil en transformation digitale.","services","SHOW_SERVICES"
"que proposez-vous","Nous proposons des solutions complètes : développement sur mesure, cybersécurité, cloud computing, formation, et accompagnement dans votre transformation digitale.","services","SHOW_SERVICES"
"vos solutions","Nos solutions incluent le développement web et mobile, la sécurisation des données, la migration cloud, et l'accompagnement dans votre transformation digitale.","services","SHOW_SERVICES"
"types de services","Nous proposons plusieurs types de services : développement (web, mobile), cybersécurité (audit, protection), cloud (migration, optimisation), et conseil (transformation digitale).","services","SHOW_SERVICES"
"gamme de services","Notre gamme de services couvre le développement, la cybersécurité, le cloud computing, la formation, et le conseil en transformation digitale.","services","SHOW_SERVICES"
"services disponibles","Nos services disponibles incluent le développement web et mobile, la cybersécurité, le cloud computing, la formation, et le support technique.","services","SHOW_SERVICES"
"catalogue de services","Notre catalogue comprend le développement sur mesure, la cybersécurité, le cloud computing, la formation, et l'accompagnement en transformation digitale.","services","SHOW_SERVICES"
"comment vous contacter ?","Vous pouvez nous contacter par téléphone au 01 23 45 67 89, par email à contact@fastcube.fr, ou via notre formulaire en ligne. Notre équipe vous répondra sous 24h.","contact","CONTACT_TEAM"
"coordonnées","Nos coordonnées : FASTCUBE - 123 Avenue de l'Innovation, 75001 Paris. Tél : 01 23 45 67 89. Email : contact@fastcube.fr.","contact","CONTACT_TEAM"
"adresse","FASTCUBE est situé au 123 Avenue de l'Innovation, 75001 Paris. Nous recevons sur rendez-vous du lundi au vendredi de 9h à 18h.","contact","CONTACT_TEAM"
"téléphone","Notre numéro de téléphone est le 01 23 45 67 89. Nos experts sont disponibles du lundi au vendredi de 9h à 18h pour répondre à vos questions.","contact","CONTACT_TEAM"
"email","Notre adresse email principale est contact@fastcube.fr. Pour les urgences techniques : support@fastcube.fr. Nous répondons sous 24h.","contact","CONTACT_TEAM"
"numéro de téléphone","Notre numéro de téléphone est le 01 23 45 67 89. Nous sommes disponibles du lundi au vendredi de 9h à 18h.","contact","CONTACT_TEAM"
"adresse email","Notre adresse email principale est contact@fastcube.fr. Pour le support technique : support@fastcube.fr.","contact","CONTACT_TEAM"
"lieu","FASTCUBE est situé au 123 Avenue de l'Innovation, 75001 Paris. Nous recevons sur rendez-vous.","contact","CONTACT_TEAM"
"localisation","Nous sommes situés au 123 Avenue de l'Innovation, 75001 Paris. Accès facile en transport en commun.","contact","CONTACT_TEAM"
"horaires d'ouverture","Nos horaires d'ouverture sont du lundi au vendredi de 9h à 18h. Nous recevons sur rendez-vous.","contact","CONTACT_TEAM"
"disponibilité","Nous sommes disponibles du lundi au vendredi de 9h à 18h. Pour les urgences, notre équipe de support est joignable 24/7.","contact","CONTACT_TEAM"
"demande de devis","Je serais ravi de vous préparer un devis personnalisé. Pouvez-vous me donner plus de détails sur votre projet ? Type de service, budget, délais souhaités ?","devis","REQUEST_QUOTE"
"devis gratuit","Bien sûr ! Nous proposons des devis gratuits et sans engagement. Décrivez-moi votre projet et je vous enverrai une proposition détaillée sous 48h.","devis","REQUEST_QUOTE"
"prix de vos services","Nos tarifs varient selon la complexité du projet. Nous proposons des devis personnalisés gratuits. Contactez-nous pour une estimation précise adaptée à vos besoins.","tarifs","REQUEST_QUOTE"
"combien ça coûte","Nos prix dépendent de la nature et de la complexité de votre projet. Nous offrons des devis gratuits et transparents. Contactez-nous pour une estimation personnalisée.","tarifs","REQUEST_QUOTE"
"budget moyen","Le budget moyen varie de 5000€ à 50000€ selon la complexité. Pour un devis précis, décrivez-moi votre projet et je vous proposerai une estimation détaillée.","tarifs","REQUEST_QUOTE"
"estimation de prix","Pour une estimation de prix précise, décrivez-moi votre projet. Nos tarifs varient selon la complexité et nous proposons des devis gratuits.","tarifs","REQUEST_QUOTE"
"tarification","Notre tarification est transparente et adaptée à chaque projet. Nous proposons des devis personnalisés gratuits pour vous donner une estimation précise.","tarifs","REQUEST_QUOTE"
"coût des services","Le coût de nos services dépend de la complexité du projet. Contactez-nous pour un devis personnalisé et gratuit.","tarifs","REQUEST_QUOTE"
"prix approximatif","Pour un prix approximatif, décrivez-moi votre projet. Nos tarifs varient de 5000€ à 50000€ selon la complexité.","tarifs","REQUEST_QUOTE"
"devis personnalisé","Nous proposons des devis personnalisés gratuits. Décrivez-moi votre projet et je vous enverrai une proposition détaillée sous 48h.","devis","REQUEST_QUOTE"
"estimation gratuite","Oui, nous proposons des estimations gratuites. Décrivez-moi votre projet et je vous enverrai un devis personnalisé sous 48h.","devis","REQUEST_QUOTE"
"délais de réalisation","Nos délais varient selon la complexité : 2-4 semaines pour un site web simple, 2-6 mois pour une application complexe. Nous respectons toujours les échéances convenues.","delais","none"
"combien de temps","La durée dépend de votre projet : développement web (2-8 semaines), application mobile (3-12 semaines), audit sécurité (1-2 semaines). Nous vous donnons un planning détaillé.","delais","none"
"quand sera prêt","Nous établissons un planning précis dès la signature. Nos délais moyens : site web (3-6 semaines), application (2-6 mois). Nous vous tenons informés à chaque étape.","delais","none"
"durée du projet","La durée du projet dépend de sa complexité. Nous établissons un planning détaillé dès la signature et vous tenons informés à chaque étape.","delais","none"
"planning","Nous établissons un planning détaillé dès la signature du projet. Vous recevez un calendrier précis avec les étapes et échéances.","delais","none"
"échéances","Nous respectons toujours les échéances convenues. Dès la signature, vous recevez un planning détaillé avec toutes les étapes du projet.","delais","none"
"temps de développement","Le temps de développement varie selon la complexité : site web (2-8 semaines), application mobile (3-12 semaines), audit sécurité (1-2 semaines).","delais","none"
"durée de réalisation","La durée de réalisation dépend de votre projet. Nous vous donnons un planning précis dès la signature et respectons toujours les échéances.","delais","none"
"appels d'offres","Nous répondons régulièrement aux appels d'offres publics et privés. Consultez notre section dédiée pour voir nos références et les marchés en cours.","appels_offre","SHOW_TENDERS"
"marchés publics","FASTCUBE participe aux marchés publics dans les domaines du développement, de la cybersécurité et du cloud. Consultez nos références et appels d'offres en cours.","appels_offre","SHOW_TENDERS"
"réponse aux appels d'offres","Nous répondons aux appels d'offres publics et privés dans nos domaines d'expertise. Consultez nos références et les marchés en cours.","appels_offre","SHOW_TENDERS"
"participation aux marchés","Nous participons aux marchés publics et privés. Notre expertise en développement, cybersécurité et cloud nous permet de répondre à de nombreux appels d'offres.","appels_offre","SHOW_TENDERS"
"marchés en cours","Consultez notre section appels d'offres pour voir les marchés en cours et nos références dans les marchés publics et privés.","appels_offre","SHOW_TENDERS"
"références marchés publics","Nous avons de nombreuses références dans les marchés publics. Consultez notre section dédiée pour voir nos réalisations et les marchés en cours.","appels_offre","SHOW_TENDERS"
"cybersécurité","Nous proposons des services de cybersécurité complets : audit de sécurité, tests d'intrusion, formation des équipes, mise en place de solutions de protection.","securite","SHOW_SERVICES"
"sécurité informatique","Notre expertise en sécurité informatique inclut l'audit de vulnérabilités, la protection des données, la conformité RGPD, et la formation à la cybersécurité.","securite","SHOW_SERVICES"
"protection des données","Nous vous aidons à sécuriser vos données avec des solutions conformes RGPD : chiffrement, sauvegarde sécurisée, contrôle d'accès, et audit de conformité.","securite","SHOW_SERVICES"
"audit de sécurité","Nous réalisons des audits de sécurité complets : tests d'intrusion, analyse de vulnérabilités, audit de conformité RGPD, et recommandations d'amélioration.","securite","SHOW_SERVICES"
"tests d'intrusion","Nos tests d'intrusion simulent des attaques réelles pour identifier les vulnérabilités de vos systèmes. Rapport détaillé avec plan de remédiation.","securite","SHOW_SERVICES"
"vulnérabilités","Nous identifions et corrigeons les vulnérabilités de vos systèmes. Audit complet avec plan de remédiation et suivi des corrections.","securite","SHOW_SERVICES"
"conformité rgpd","Nous vous accompagnons dans votre conformité RGPD : audit, mise en place des mesures, formation des équipes, et suivi de la conformité.","securite","SHOW_SERVICES"
"chiffrement des données","Nous mettons en place des solutions de chiffrement pour protéger vos données sensibles. Chiffrement en transit et au repos.","securite","SHOW_SERVICES"
"backup sécurisé","Nous mettons en place des solutions de sauvegarde sécurisées avec chiffrement et contrôle d'accès pour protéger vos données.","securite","SHOW_SERVICES"
"contrôle d'accès","Nous mettons en place des solutions de contrôle d'accès pour sécuriser vos systèmes : authentification multi-facteurs, gestion des droits, audit des accès.","securite","SHOW_SERVICES"
"cloud computing","Nos services cloud incluent la migration, l'optimisation des coûts, la sécurisation, et la maintenance. Nous travaillons avec AWS, Azure et Google Cloud.","cloud","SHOW_SERVICES"
"migration cloud","Nous accompagnons votre migration cloud étape par étape : audit, planification, migration sécurisée, optimisation des coûts et formation des équipes.","cloud","SHOW_SERVICES"
"aws","Nous sommes experts AWS et vous accompagnons dans vos projets : migration, optimisation, sécurisation, et formation sur les services AWS.","cloud","SHOW_SERVICES"
"azure","Nous maîtrisons Microsoft Azure et vous accompagnons dans vos projets : migration, développement, sécurisation, et formation sur Azure.","cloud","SHOW_SERVICES"
"google cloud","Nous sommes partenaires Google Cloud et vous accompagnons dans vos projets : migration, développement, sécurisation, et formation sur GCP.","cloud","SHOW_SERVICES"
"optimisation cloud","Nous optimisons vos coûts cloud : analyse des ressources, recommandations d'optimisation, mise en place des bonnes pratiques, et suivi des coûts.","cloud","SHOW_SERVICES"
"architecture cloud","Nous concevons des architectures cloud robustes et évolutives : haute disponibilité, scalabilité, sécurité, et optimisation des coûts.","cloud","SHOW_SERVICES"
"développement web","Nous développons des sites web et applications sur mesure : e-commerce, sites vitrines, applications métier, avec les dernières technologies.","developpement","SHOW_SERVICES"
"site internet","Nous créons des sites web modernes, responsives et optimisés SEO. Du site vitrine à l'e-commerce, nous adaptons la solution à vos besoins et budget.","developpement","SHOW_SERVICES"
"application mobile","Nous développons des applications mobiles natives et hybrides pour iOS et Android. Interface intuitive, performance optimale, et maintenance continue.","developpement","SHOW_SERVICES"
"e-commerce","Nous développons des solutions e-commerce complètes : sites de vente en ligne, marketplaces, intégration de moyens de paiement, et optimisation des conversions.","developpement","SHOW_SERVICES"
"site vitrine","Nous créons des sites vitrines modernes et professionnels : design sur mesure, responsive, optimisé SEO, et facilement administrable.","developpement","SHOW_SERVICES"
"application métier","Nous développons des applications métier sur mesure : gestion de processus, automatisation, intégration avec vos systèmes existants.","developpement","SHOW_SERVICES"
"api","Nous développons des API robustes et sécurisées : REST, GraphQL, documentation complète, tests automatisés, et monitoring.","developpement","SHOW_SERVICES"
"intégration","Nous intégrons vos systèmes existants : API, bases de données, ERP, CRM, et outils métier pour une solution cohérente.","developpement","SHOW_SERVICES"
"support technique","Notre équipe de support technique est disponible 24/7 pour résoudre vos problèmes. Maintenance préventive, dépannage, et optimisation de vos systèmes.","support","CONTACT_TEAM"
"maintenance","Nous proposons des contrats de maintenance adaptés : maintenance préventive, correctives, mises à jour, et support technique réactif.","maintenance","CONTACT_TEAM"
"dépannage","Notre équipe technique intervient rapidement pour résoudre vos problèmes. Support téléphonique, intervention à distance, ou sur site selon l'urgence.","support","CONTACT_TEAM"
"maintenance préventive","Nous proposons des contrats de maintenance préventive : monitoring, mises à jour, sauvegardes, et optimisation continue de vos systèmes.","maintenance","CONTACT_TEAM"
"maintenance corrective","Notre équipe intervient rapidement pour corriger les problèmes : diagnostic, correction, et prévention des récidives.","maintenance","CONTACT_TEAM"
"mises à jour","Nous gérons les mises à jour de vos systèmes : planification, tests, déploiement, et validation pour garantir la stabilité.","maintenance","CONTACT_TEAM"
"monitoring","Nous mettons en place des solutions de monitoring pour surveiller vos systèmes : alertes, tableaux de bord, et reporting.","maintenance","CONTACT_TEAM"
"formation","Nous formons vos équipes aux nouvelles technologies : cybersécurité, cloud, développement web. Formation sur mesure adaptée à votre niveau et vos besoins.","formation","CONTACT_TEAM"
"formation cybersécurité","Nous formons vos équipes à la cybersécurité : bonnes pratiques, sensibilisation aux risques, et mise en place de procédures de sécurité.","formation","CONTACT_TEAM"
"formation cloud","Nous formons vos équipes aux technologies cloud : AWS, Azure, Google Cloud, avec des formations pratiques et adaptées à vos besoins.","formation","CONTACT_TEAM"
"formation développement","Nous formons vos équipes aux technologies de développement : langages, frameworks, bonnes pratiques, et outils modernes.","formation","CONTACT_TEAM"
"audit technique","Nous réalisons des audits complets de vos systèmes : sécurité, performance, architecture. Rapport détaillé avec recommandations d'amélioration.","audit","SHOW_SERVICES"
"audit de performance","Nous auditons les performances de vos systèmes : analyse des goulots d'étranglement, recommandations d'optimisation, et tests de charge.","audit","SHOW_SERVICES"
"audit d'architecture","Nous auditons l'architecture de vos systèmes : analyse de la robustesse, de la scalabilité, et recommandations d'amélioration.","audit","SHOW_SERVICES"
"optimisation","Nous optimisons vos systèmes existants : performance, sécurité, coûts. Analyse approfondie et mise en place des améliorations recommandées.","optimisation","SHOW_SERVICES"
"optimisation des performances","Nous optimisons les performances de vos applications : analyse des goulots d'étranglement, mise en cache, et amélioration de l'architecture.","optimisation","SHOW_SERVICES"
"optimisation des coûts","Nous optimisons vos coûts informatiques : analyse des ressources, recommandations d'économie, et mise en place de solutions plus efficaces.","optimisation","SHOW_SERVICES"
"conseil","Notre équipe de consultants vous accompagne dans vos choix technologiques : architecture, sécurité, cloud, avec une approche sur mesure.","consulting","SHOW_SERVICES"
"conseil en transformation digitale","Nous vous accompagnons dans votre transformation digitale : audit, stratégie, mise en œuvre, et suivi de votre transformation.","consulting","SHOW_SERVICES"
"conseil en architecture","Nos architectes vous conseillent sur l'architecture de vos systèmes : robustesse, scalabilité, sécurité, et optimisation des coûts.","consulting","SHOW_SERVICES"
"stratégie digitale","Nous vous accompagnons dans la définition de votre stratégie digitale : audit, recommandations, roadmap, et mise en œuvre.","consulting","SHOW_SERVICES"
"références","Nous avons accompagné plus de 200 clients dans leur transformation digitale. Consultez notre portfolio pour découvrir nos réalisations.","portfolio","SHOW_PORTFOLIO"
"vos réalisations","Découvrez nos réalisations dans notre portfolio : sites web, applications, projets de cybersécurité et migrations cloud. Des exemples concrets de notre expertise.","portfolio","SHOW_PORTFOLIO"
"clients","Nous travaillons avec des entreprises de toutes tailles : startups, PME, grandes entreprises. Chaque projet est unique et adapté aux besoins spécifiques.","portfolio","SHOW_PORTFOLIO"
"portfolio","Consultez notre portfolio pour découvrir nos réalisations : sites web, applications, projets de cybersécurité, et migrations cloud.","portfolio","SHOW_PORTFOLIO"
"projets réalisés","Nous avons réalisé plus de 200 projets : sites web, applications, audits de sécurité, migrations cloud. Consultez notre portfolio pour des exemples.","portfolio","SHOW_PORTFOLIO"
"témoignages clients","Nos clients témoignent de leur satisfaction. Consultez notre portfolio pour découvrir leurs retours d'expérience et nos réalisations.","portfolio","SHOW_PORTFOLIO"
"cas d'usage","Découvrez nos cas d'usage dans notre portfolio : exemples concrets de nos réalisations et de l'impact sur nos clients.","portfolio","SHOW_PORTFOLIO"
"garanties","Nous offrons des garanties sur tous nos services : satisfaction client, respect des délais, et support post-livraison. Votre réussite est notre priorité.","garanties","none"
"garantie satisfaction","Nous garantissons votre satisfaction. Si vous n'êtes pas satisfait, nous nous engageons à corriger et améliorer jusqu'à votre satisfaction complète.","garanties","none"
"garantie délais","Nous garantissons le respect des délais convenus. Si nous ne respectons pas les échéances, nous vous proposons des compensations.","garanties","none"
"après-vente","Notre service après-vente inclut la maintenance, les mises à jour, le support technique, et l'accompagnement pour l'évolution de vos solutions.","post_livraison","CONTACT_TEAM"
"support post-livraison","Notre support post-livraison inclut la maintenance, les mises à jour, le support technique, et l'accompagnement pour l'évolution de vos solutions.","post_livraison","CONTACT_TEAM"
"évolution des solutions","Nous vous accompagnons dans l'évolution de vos solutions : nouvelles fonctionnalités, mises à jour, et adaptation à vos nouveaux besoins.","post_livraison","CONTACT_TEAM"
"merci","Je vous en prie ! N'hésitez pas à revenir vers nous si vous avez d'autres questions. Notre équipe est là pour vous accompagner dans tous vos projets technologiques.","accueil","none"
"au revoir","Au revoir ! Merci de votre confiance. N'hésitez pas à nous recontacter pour vos futurs projets. L'équipe FASTCUBE reste à votre disposition.","accueil","none"
"merci beaucoup","Merci beaucoup ! C'est un plaisir de vous aider. N'hésitez pas à revenir vers nous pour vos futurs projets technologiques.","accueil","none"
"très bien","Parfait ! Je suis ravi d'avoir pu vous aider. N'hésitez pas à revenir vers nous pour vos projets technologiques.","accueil","none"
"parfait","Excellent ! Je suis content d'avoir pu répondre à vos questions. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"ok","Parfait ! N'hésitez pas à revenir vers nous si vous avez d'autres questions sur nos services technologiques.","accueil","none"
"d'accord","D'accord ! Notre équipe reste à votre disposition pour vous accompagner dans tous vos projets technologiques.","accueil","none"
"compris","Parfait ! N'hésitez pas à revenir vers nous si vous avez d'autres questions ou pour vos futurs projets.","accueil","none"
"entendu","Entendu ! Notre équipe reste à votre disposition pour vous accompagner dans vos projets technologiques.","accueil","none"
"je vais réfléchir","Prenez tout votre temps pour réfléchir. Notre équipe reste à votre disposition quand vous serez prêt à avancer sur votre projet.","accueil","none"
"je vais en parler","Excellente idée ! N'hésitez pas à revenir vers nous après en avoir parlé. Notre équipe reste à votre disposition.","accueil","none"
"je reviendrai","Parfait ! Nous serons ravis de vous revoir. Notre équipe reste à votre disposition pour vous accompagner dans vos projets.","accueil","none"
"à plus tard","À plus tard ! Notre équipe reste à votre disposition pour vous accompagner dans vos projets technologiques.","accueil","none"
"bonne continuation","Merci ! Bonne continuation à vous aussi. N'hésitez pas à revenir vers nous pour vos projets technologiques.","accueil","none"
"bon courage","Merci ! Bon courage à vous aussi. Notre équipe reste à votre disposition pour vous accompagner.","accueil","none"
"bonne journée","Bonne journée à vous aussi ! N'hésitez pas à revenir vers nous pour vos projets technologiques.","accueil","none"
"bonne soirée","Bonne soirée à vous aussi ! Notre équipe reste à votre disposition pour vos futurs projets.","accueil","none"
"bonne nuit","Bonne nuit ! Notre équipe sera là demain pour vous accompagner dans vos projets technologiques.","accueil","none"
"bon week-end","Bon week-end à vous aussi ! Notre équipe sera là lundi pour vous accompagner dans vos projets.","accueil","none"
"bonnes vacances","Bonnes vacances ! Notre équipe sera là à votre retour pour vous accompagner dans vos projets technologiques.","accueil","none"
"joyeux noël","Joyeux Noël à vous aussi ! Notre équipe sera là après les fêtes pour vous accompagner dans vos projets.","accueil","none"
"bonne année","Bonne année à vous aussi ! Nous vous souhaitons une excellente année et restons à votre disposition pour vos projets.","accueil","none"
"bon anniversaire","Bon anniversaire ! Nous vous souhaitons une excellente journée et restons à votre disposition pour vos projets technologiques.","accueil","none"
"félicitations","Merci ! Nous sommes ravis d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos futurs projets.","accueil","none"
"bravo","Merci ! C'est un plaisir de vous accompagner. Notre équipe reste à votre disposition pour vos projets technologiques.","accueil","none"
"excellent","Parfait ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos futurs projets.","accueil","none"
"super","Super ! Je suis content d'avoir pu répondre à vos questions. Notre équipe reste à votre disposition.","accueil","none"
"génial","Génial ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"fantastique","Fantastique ! Je suis content d'avoir pu vous accompagner. Notre équipe reste à votre disposition.","accueil","none"
"formidable","Formidable ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"extraordinaire","Extraordinaire ! Je suis content d'avoir pu vous accompagner. Notre équipe reste à votre disposition.","accueil","none"
"remarquable","Remarquable ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"exceptionnel","Exceptionnel ! Je suis content d'avoir pu vous accompagner. Notre équipe reste à votre disposition.","accueil","none"
"incroyable","Incroyable ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"impressionnant","Impressionnant ! Je suis content d'avoir pu vous accompagner. Notre équipe reste à votre disposition.","accueil","none"
"magnifique","Magnifique ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"splendide","Splendide ! Je suis content d'avoir pu vous accompagner. Notre équipe reste à votre disposition.","accueil","none"
"merveilleux","Merveilleux ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"admirable","Admirable ! Je suis content d'avoir pu vous accompagner. Notre équipe reste à votre disposition.","accueil","none"
"épatant","Épatant ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"fabuleux","Fabuleux ! Je suis content d'avoir pu vous accompagner. Notre équipe reste à votre disposition.","accueil","none"
"prodigieux","Prodigieux ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"miraculeux","Miraculeux ! Je suis content d'avoir pu vous accompagner. Notre équipe reste à votre disposition.","accueil","none"
"mirobolant","Mirobolant ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"époustouflant","Époustouflant ! Je suis content d'avoir pu vous accompagner. Notre équipe reste à votre disposition.","accueil","none"
"stupéfiant","Stupéfiant ! Je suis ravi d'avoir pu vous aider. Notre équipe reste à votre disposition pour vos projets.","accueil","none"
"ah","Ah ! Je suis là pour répondre à toutes vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"oh","Oh ! N'hésitez pas à me poser vos questions sur nos services. Je suis là pour vous aider.","accueil","none"
"hum","Hum ! Je suis là pour répondre à vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"hmm","Hmm ! N'hésitez pas à me poser vos questions. Je suis là pour vous accompagner dans vos projets technologiques.","accueil","none"
"euh","Euh ! Pas de souci, prenez votre temps. Je suis là pour répondre à toutes vos questions sur nos services.","accueil","none"
"ben","Ben ! Je suis là pour vous aider avec vos questions sur nos services technologiques. N'hésitez pas à me poser vos questions.","accueil","none"
"hein","Hein ! Je suis là pour répondre à vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"quoi","Quoi ! Je suis là pour vous aider avec vos questions sur nos services. N'hésitez pas à me poser vos questions.","accueil","none"
"comment","Comment ! Je suis là pour répondre à vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"pourquoi","Pourquoi ! Je suis là pour vous expliquer nos services et vous accompagner dans vos projets technologiques.","accueil","none"
"quand","Quand ! Je suis là pour répondre à vos questions sur nos services et vous accompagner dans vos projets.","accueil","none"
"où","Où ! Je suis là pour vous aider avec vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"qui","Qui ! Je suis l'assistant IA de FASTCUBE, spécialisé dans les solutions technologiques. Comment puis-je vous aider ?","accueil","none"
"que","Que ! Je suis là pour répondre à vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"quel","Quel ! Je suis là pour vous aider avec vos questions sur nos services. N'hésitez pas à me poser vos questions.","accueil","none"
"quelle","Quelle ! Je suis là pour répondre à vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"quels","Quels ! Je suis là pour vous aider avec vos questions sur nos services. N'hésitez pas à me poser vos questions.","accueil","none"
"quelles","Quelles ! Je suis là pour répondre à vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"combien","Combien ! Je suis là pour vous aider avec vos questions sur nos services. N'hésitez pas à me poser vos questions.","accueil","none"
"lequel","Lequel ! Je suis là pour répondre à vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"laquelle","Laquelle ! Je suis là pour vous aider avec vos questions sur nos services. N'hésitez pas à me poser vos questions.","accueil","none"
"lesquels","Lesquels ! Je suis là pour répondre à vos questions sur nos services technologiques. Comment puis-je vous aider ?","accueil","none"
"lesquelles","Lesquelles ! Je suis là pour vous aider avec vos questions sur nos services. N'hésitez pas à me poser vos questions.","accueil","none" 
